Merk,Tipe,Ram,Internal,Harga_Beli,Kondisi,Keterangan_Kondisi,Status,Refund,Tgl_Laku,Keterangan_Jual,Harga_Jual,Biaya_Tambahan,Keterangan_Biaya_Tambahan
Xiaomi,Redmi 4a Prime,,,675000,,,Refund,,19/6/2019,,675000,55000,Ongkir
Xiaomi,Redmi Note 4,,,808000,,,Terjual,,21/6/2019,,1100000,25000,Charger
Xiaomi,Redmi 4a,,,646000,,,Terjual,,21/6/2019,,800000,25000,Charger
Vivo,Y51,,,457000,,,Terjual,,21/6/2019,,700000,25000,Charger
Oppo,A57,,,907000,,,Terjual,,25/6/2019,,1100000,,
Samsung,J3,,,675000,,,Terjual,,26/6/2019,,750000,25000,Charger
Samsung,J5 Prime,,,746000,,,Terjual,,26/6/2019,,950000,,
Honor ,9 Lite,,,934000,,,Terjual,,27/6/2019,,1050000,,
Samsung,J4+,,,935000,,,Terjual,,27/6/2019,,1200000,,
Samsung,J7 ,,,743000,,,Terjual,,2/7/2019,,900000,,
Samsung,J7 Pro,,,1080000,,,Terjual,,3/7/2019,,1350000,25000,Charger
Xiaomi,Redmi Note 4,,,926000,,,Terjual,,3/7/2019,,1150000,,
Samsung,J5 Pro,,,1010000,,,Terjual,,9/7/2019,,1150000,,
Samsung,J3,,,588000,,,Refund,,18/7/2019,,588000,30000,Ongkir
Xiaomi,Redmi Note 4,,,953000,,,Terjual,,25/7/2019,,950000,25000,Charger
Xiaomi,Redmi Note 4,,,1050000,,,Terjual,,26/7/2019,,1150000,,
Xiaomi,Redmi Note 4,,,933000,,,Terjual,,29/7/2019,,1000000,,
Samsung,Alpha,,,564000,,,Terjual,,29/7/2019,,600000,,
Xiaomi,Redmi 4a,,,551000,,,Terjual,,28/10/2019,,700000,25000,Charger
Oppo,F1,,,657000,,,Terjual,,30/10/2019,,750000,,
Samsung,J3,,,537000,,,Terjual,,30/10/2019,,650000,,
Oppo,A37,,,674000,,,Terjual,,4/11/2019,,820000,,
Samsung,J5 Pro,,,834000,,,Terjual,,6/11/2019,,1050000,25000,Charger
Samsung,A5,,,673000,,,Terjual,,12/11/2019,,800000,25000,Charger
Oppo,F1,,,598000,,,Terjual,,12/11/2019,,780000,25000,Charger
Oppo,A37,,,598000,,,Terjual,,13/11/2019,,750000,25000,Charger
Samsung,J5 Pro,,,839000,,,Terjual,,14/11/2019,,920000,25000,Charger
Samsung,J7 Prime,,,807000,,,Terjual,,19/11/2019,,1100000,,
Samsung,J5 Pro,,,839000,,,Terjual,,9/12/2019,,1050000,25000,Charger
Xiaomi,MIA1,,,960000,,,Terjual,,10/12/2019,,1050000,25000,Charger
Samsung,S7 Edge,,,1370000,,,Terjual,,10/12/2019,,1950000,,
Samsung,J5 Pro,,,833000,,,Refund,,19/12/2019,,833000,30000,Ongkir
Samsung,A8,,,1420000,,,Refund,,19/12/2019,,1420000,30000,Ongkir
Samsung,S7 Edge,,,1732000,,,Terjual,,19/12/2019,,2150000,,
Samsung,S7 Edge,,,1726000,,,Refund,,2/1/2020,,1726000,26000,Ongkir
Samsung,J5 Pro,,,870000,,,Terjual,,7/1/2020,,1000000,,
Asus,Zenfone Max,,,584000,,,Terjual,,8/1/2020,,750000,25000,Charger
Asus,Zenfone 4 Max,,,599000,,,Refund,,8/1/2020,,599000,21500,Ongkir
Samsung,J2 Pro,,,567000,,,Terjual,,14/1/2020,,700000,30000,Charger
Asus,Zenfone 4 Max,,,619000,,,Terjual,,14/1/2020,,900000,30000,Charger
Asus,Zenfone 4 Max,,,699000,,,Terjual,,15/1/2020,,900000,30000,Charger
Samsung,A7,,,1799000,,,Terjual,,21/1/2020,,1950000,,
Samsung,A7,,,1561000,,,Terjual,,22/1/2020,,1600000,,
Oppo,A57,,,702000,,,Terjual,,22/1/2020,,700000,,
Samsung,A6,,,1041000,,,Terjual,,28/1/2020,,1230000,30000,Charger
Xiaomi,Redmi 4x,,,521000,,,Terjual,,29/1/2020,,660000,30000,Charger
Samsung,J3,,,453000,,,Terjual,,3/2/2020,,570000,30000,Charger
Oppo,F9,,,1629000,,,Terjual,,4/2/2020,,1800000,30000,Charger
Oppo,A57,,,820000,,,Terjual,,4/2/2020,,940000,30000,Charger
Oppo,F1S,,,771000,,,Terjual,,4/2/2020,,900000,30000,Charger
Xiaomi,Redmi 4x,,,573000,,,Terjual,,7/2/2020,,570000,,
Xiaomi,Redmi Note 3,,,580000,,,Terjual,,10/2/2020,,700000,,
Samsung,J3,,,455000,,,Terjual,,10/2/2020,,580000,30000,Charger
Samsung,A5,,,735000,,,Terjual,,12/2/2020,,950000,,
Samsung,A7,,,1330000,,,Terjual,,12/2/2020,,1850000,110000,Dusbook
Oppo,A5,,,1624000,,,Terjual,,18/2/2020,,1800000,,
Oppo,F9,,,1510000,,,Terjual,,21/2/2020,,1650000,,
Oppo,F9,,,1629000,,,Terjual,,4/3/2020,,1780000,30000,Charger
Samsung,J7 Prime,,,896000,,,Refund,,4/3/2020,,896000,25000,Ongkir
